AGE,SEX,POP,RACE,us
0,0,3783052,0,1
0,0,2722259,1,1
0,0,571483,2,1
0,0,61050,3,1
0,0,186078,4,1
0,0,11142,5,1
0,0,231040,6,1
0,0,2935241,7,1
0,0,697256,8,1
0,0,106813,9,1
0,0,270294,10,1
0,0,27281,11,1
1,0,3829599,0,1
1,0,2754686,1,1
1,0,578270,2,1
1,0,61579,3,1
1,0,193613,4,1
1,0,11356,5,1
1,0,230095,6,1
1,0,2966608,7,1
1,0,702804,8,1
1,0,107558,9,1
1,0,277901,10,1
1,0,27503,11,1
2,0,3922044,0,1
2,0,2816947,1,1
2,0,591975,2,1
2,0,62892,3,1
2,0,203417,4,1
2,0,11674,5,1
2,0,235139,6,1
2,0,3033473,7,1
2,0,719143,8,1
2,0,109809,9,1
2,0,289704,10,1
2,0,28193,11,1
3,0,3998665,0,1
3,0,2867560,1,1
3,0,604829,2,1
3,0,64172,3,1
3,0,211091,4,1
3,0,11968,5,1
3,0,239045,6,1
3,0,3087584,7,1
3,0,734130,8,1
3,0,111916,9,1
3,0,298830,10,1
3,0,28770,11,1
4,0,4043323,0,1
4,0,2893632,1,1
4,0,611601,2,1
4,0,64533,3,1
4,0,220851,4,1
4,0,12084,5,1
4,0,240622,6,1
4,0,3115077,7,1
4,0,741431,8,1
4,0,112570,9,1
4,0,309489,10,1
4,0,28996,11,1
5,0,4028281,0,1
5,0,2887174,1,1
5,0,610774,2,1
5,0,65005,3,1
5,0,215863,4,1
5,0,11669,5,1
5,0,237796,6,1
5,0,3106016,7,1
5,0,738684,8,1
5,0,112810,9,1
5,0,303489,10,1
5,0,28658,11,1
6,0,4017227,0,1
6,0,2878178,1,1
6,0,608078,2,1
6,0,64529,3,1
6,0,219990,4,1
6,0,11667,5,1
6,0,234785,6,1
6,0,3093935,7,1
6,0,733322,8,1
6,0,112095,9,1
6,0,307379,10,1
6,0,28768,11,1
7,0,4022319,0,1
7,0,2893861,1,1
7,0,608375,2,1
7,0,65832,3,1
7,0,211751,4,1
7,0,11258,5,1
7,0,231242,6,1
7,0,3106362,7,1
7,0,731773,8,1
